"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff"
"140","PE[1]",-0.001,0.039,-0.08,-0.001,0.079,TRUE,0.51,1,3000
"141","PE[2]",-0.001,0.039,-0.081,-0.001,0.077,TRUE,0.506,1,3000
"142","PE[3]",-0.001,0.04,-0.084,-0.001,0.079,TRUE,0.506,1,3000
"143","PE[4]",-0.001,0.04,-0.082,0,0.08,TRUE,0.497,1,3000
"144","PE[5]",-0.001,0.039,-0.08,0,0.076,TRUE,0.504,1,2533
"145","PE[6]",0,0.041,-0.082,0,0.082,TRUE,0.499,1,3000
"146","PE[7]",-0.002,0.039,-0.082,-0.002,0.076,TRUE,0.52,1.003,1026
"147","PE[8]",0,0.039,-0.077,0,0.08,TRUE,0.505,1.003,663
"148","PE[9]",-0.001,0.039,-0.08,0.001,0.074,TRUE,0.492,1,3000
"149","PE[10]",-0.001,0.039,-0.079,0,0.077,TRUE,0.496,1,3000
"150","PE[11]",0,0.039,-0.078,0,0.079,TRUE,0.503,1,3000
"151","PE[12]",0,0.04,-0.081,0,0.082,TRUE,0.502,1,3000
"152","PE[13]",0,0.039,-0.079,0,0.078,TRUE,0.5,1,3000
"153","PE[14]",-0.001,0.04,-0.082,0,0.077,TRUE,0.502,1.001,3000
"154","PE[15]",0,0.04,-0.084,0,0.08,TRUE,0.496,1.001,1645
"155","PE[16]",0,0.04,-0.08,0,0.079,TRUE,0.503,1,3000
"156","PE[17]",0,0.04,-0.083,0,0.079,TRUE,0.499,1.001,3000
"157","PE[18]",-0.001,0.04,-0.084,-0.001,0.08,TRUE,0.507,1.001,1357
"158","PE[19]",0,0.04,-0.082,0.002,0.078,TRUE,0.485,1,3000
"159","PE[20]",0,0.039,-0.08,0,0.078,TRUE,0.502,1.001,1975
"160","PE[21]",0,0.04,-0.08,0.001,0.08,TRUE,0.508,1.001,3000
"161","PE[22]",0,0.04,-0.083,0,0.079,TRUE,0.495,1.001,3000
"162","PE[23]",-0.001,0.04,-0.08,-0.002,0.08,TRUE,0.515,1.001,1622
"163","PE[24]",0,0.04,-0.082,0.001,0.081,TRUE,0.509,1.001,1628
"164","PE[25]",-0.002,0.039,-0.083,-0.001,0.077,TRUE,0.517,1,3000
"165","PE[26]",0.001,0.039,-0.08,0.001,0.08,TRUE,0.508,1,3000
"166","PE[27]",-0.001,0.04,-0.081,0,0.079,TRUE,0.502,1,3000
"167","PE[28]",0,0.039,-0.081,0,0.08,TRUE,0.498,1,2901
"168","PE[29]",-0.001,0.04,-0.085,-0.001,0.08,TRUE,0.517,1,3000
"169","PE[30]",-0.001,0.039,-0.082,-0.002,0.079,TRUE,0.517,1,3000
"170","PE[31]",0,0.039,-0.083,0,0.078,TRUE,0.503,1,3000
"171","PE[32]",0.001,0.04,-0.082,0.002,0.079,TRUE,0.516,1,3000
"172","PE[33]",0,0.039,-0.081,0,0.075,TRUE,0.499,1.001,2527
"173","PE[34]",-0.001,0.039,-0.081,0,0.078,TRUE,0.503,1,3000
"174","PE[35]",0,0.04,-0.08,0,0.079,TRUE,0.498,1,3000
"175","PE[36]",-0.001,0.04,-0.082,-0.002,0.078,TRUE,0.515,1.001,1153
"176","PE[37]",0,0.04,-0.08,0,0.08,TRUE,0.499,1,3000
"177","PE[38]",0.001,0.04,-0.081,0.001,0.082,TRUE,0.516,1,3000
"178","PE[39]",-0.001,0.039,-0.079,0,0.077,TRUE,0.501,1,3000
"179","PE[40]",0,0.039,-0.08,0,0.08,TRUE,0.5,1,3000
"180","PE[41]",0,0.039,-0.08,0,0.08,TRUE,0.495,1,3000
"181","PE[42]",-0.001,0.041,-0.083,0,0.081,TRUE,0.504,1.001,3000
"182","PE[43]",-0.001,0.039,-0.082,0,0.078,TRUE,0.5,1.001,2662
"183","PE[44]",0.001,0.039,-0.079,0,0.08,TRUE,0.503,1,3000
"184","PE[45]",0,0.039,-0.082,0,0.08,TRUE,0.503,1.002,3000
"185","PE[46]",-0.001,0.041,-0.082,0,0.079,TRUE,0.502,1,3000
"186","PE[47]",0,0.04,-0.081,-0.001,0.081,TRUE,0.51,1,3000
"187","PE[48]",0.002,0.04,-0.08,0.001,0.082,TRUE,0.512,1.001,2196
"188","PE[49]",0,0.04,-0.08,0,0.081,TRUE,0.501,1.001,2405
"189","PE[50]",-0.001,0.04,-0.082,-0.001,0.079,TRUE,0.511,1.001,1622
"190","PE[51]",0.001,0.04,-0.079,0.001,0.079,TRUE,0.515,1.003,607
"191","PE[52]",0,0.04,-0.081,0.001,0.08,TRUE,0.51,1,2583
"192","PE[53]",0,0.039,-0.08,-0.001,0.078,TRUE,0.488,1,3000
"193","PE[54]",-0.001,0.04,-0.08,0,0.081,TRUE,0.503,1,3000
"194","PE[55]",0.001,0.04,-0.081,0.001,0.08,TRUE,0.513,1,3000
"195","PE[56]",0,0.039,-0.082,0.001,0.077,TRUE,0.495,1.003,618
"196","PE[57]",0,0.039,-0.082,-0.001,0.078,TRUE,0.507,1,3000
"197","PE[58]",-0.001,0.04,-0.084,0,0.078,TRUE,0.5,1,3000
"198","PE[59]",-0.001,0.04,-0.083,-0.001,0.079,TRUE,0.511,1.001,1890
