year,mgmt_area,fishery,fishery_type,gear,whole_pounds
1981,SSEO,M06B,Misc Incidental,Longline,0.391489362
1981,CSEO,M26B,Misc Incidental,Mechanical jigs,633.8776143
1981,SSEI,M26B,Misc Incidental,Mechanical jigs,456.3122882
1981,SSEO,M26B,Misc Incidental,Mechanical jigs,1.962597988
1981,CSEO,M61B,Misc Incidental,Longline,68808.40991
1981,EYKT,M61B,Misc Incidental,Longline,71.12676056
1981,NSEI,M61B,Misc Incidental,Longline,7137.67765
1981,NSEO,M61B,Misc Incidental,Longline,193.244831
1981,SSEI,M61B,Misc Incidental,Longline,63843.38772
1981,SSEO,M61B,Misc Incidental,Longline,16.75677495
1981,SSEO,0,Mixed,Longline,5003.600934
1981,CSEO,Z99B,Mixed,Longline,2195.678222
1981,CSEO,Z99B,Mixed,Power gurdy troll,3.036059489
1981,CSEO,C61B,Sablefish Incidental,Longline,505.8264927
1981,EYKT,C61B,Sablefish Incidental,Longline,169.7100209
1981,NSEI,C61B,Sablefish Incidental,Longline,94.95157113
1981,NSEO,C61B,Sablefish Incidental,Longline,201.8363716
1981,SSEI,C61B,Sablefish Incidental,Longline,0.068929127
1981,SSEO,C61B,Sablefish Incidental,Longline,59.92348631
1981,CSEO,S05B,Salmon Incidental,Hand troll,1014.151379
1981,NSEI,S05B,Salmon Incidental,Hand troll,643.4531945
1981,SSEI,S05B,Salmon Incidental,Hand troll,1244.294416
1981,SSEO,S05B,Salmon Incidental,Hand troll,422.3810467
1981,CSEO,S15B,Salmon Incidental,Power gurdy troll,15570.40116
1981,EYKT,S15B,Salmon Incidental,Power gurdy troll,1463.832997
1981,NSEI,S15B,Salmon Incidental,Power gurdy troll,776.9497079
1981,NSEO,S15B,Salmon Incidental,Power gurdy troll,38.25296895
1981,SSEI,S15B,Salmon Incidental,Power gurdy troll,108.7408729
1981,SSEO,S15B,Salmon Incidental,Power gurdy troll,221.7500495
1981,CSEO,S99S,Salmon Incidental,troll/salmon,14467.54464
1981,EYKT,S99S,Salmon Incidental,troll/salmon,1721.393487
1981,NSEI,S99S,Salmon Incidental,troll/salmon,1383.023879
1981,NSEO,S99S,Salmon Incidental,troll/salmon,33.75261966
1981,SSEI,S99S,Salmon Incidental,troll/salmon,718.0217945
1981,SSEO,S99S,Salmon Incidental,troll/salmon,638.8513331
1982,CSEO,B06B,Halibut Incidental,Longline,1495.381211
1982,EYKT,B06B,Halibut Incidental,Longline,127.9718872
1982,NSEI,B06B,Halibut Incidental,Longline,130.3950037
1982,SSEI,B06B,Halibut Incidental,Longline,215.4729026
1982,CSEO,B26B,Halibut Incidental,Mechanical jigs,24.06551339
1982,CSEO,B61B,Halibut Incidental,Longline,8191.40285
1982,EYKT,B61B,Halibut Incidental,Longline,1700.474926
1982,NSEI,B61B,Halibut Incidental,Longline,464.5701062
1982,NSEO,B61B,Halibut Incidental,Longline,691.238464
1982,SSEI,B61B,Halibut Incidental,Longline,2934.569696
1982,SSEO,B61B,Halibut Incidental,Longline,574.9809095
1982,SSEI,M05B,Misc Incidental,Hand troll,730.7323298
1982,CSEO,M06B,Misc Incidental,Longline,66038.39316
1982,NSEI,M06B,Misc Incidental,Longline,197.6076364
1982,NSEO,M06B,Misc Incidental,Longline,933.8668809
1982,SSEI,M06B,Misc Incidental,Longline,8787.768018
1982,CSEO,M26B,Misc Incidental,Mechanical jigs,260.799422
1982,NSEI,M26B,Misc Incidental,Mechanical jigs,9.206719425
1982,SSEI,M26B,Misc Incidental,Mechanical jigs,169.2388729
1982,CSEO,M61B,Misc Incidental,Longline,103034.9586
1982,EYKT,M61B,Misc Incidental,Longline,4552.112676
1982,NSEI,M61B,Misc Incidental,Longline,5159.13119
1982,NSEO,M61B,Misc Incidental,Longline,38.6489662
1982,SSEI,M61B,Misc Incidental,Longline,53749.15887
1982,SSEO,M61B,Misc Incidental,Longline,19.39417697
1982,SSEO,M99B,Misc Incidental,Other/unspecified/missing,0.128779396
1982,CSEO,0,Mixed,Longline,909.6034229
1982,NSEI,K09A,Mixed,Pot,3271.869981
1982,CSEO,C06B,Sablefish Incidental,Longline,0.784364789
1982,NSEI,C06B,Sablefish Incidental,Longline,0.844497844
1982,SSEI,C06B,Sablefish Incidental,Longline,1.861086418
1982,SSEO,C06B,Sablefish Incidental,Longline,4.877123621
1982,CSEO,C61B,Sablefish Incidental,Longline,255.5919261
1982,EYKT,C61B,Sablefish Incidental,Longline,1452.532234
1982,NSEI,C61B,Sablefish Incidental,Longline,51.33487588
1982,NSEO,C61B,Sablefish Incidental,Longline,60.86779371
1982,SSEI,C61B,Sablefish Incidental,Longline,0.572641975
1982,SSEO,C61B,Sablefish Incidental,Longline,569.114256
1982,CSEO,S03T,Salmon Incidental,Drift gillnet,38.394765
1982,CSEO,S05B,Salmon Incidental,Hand troll,1318.661584
1982,NSEI,S05B,Salmon Incidental,Hand troll,10.67972107
1982,SSEO,S05B,Salmon Incidental,Hand troll,32.33854889
1982,CSEO,S15B,Salmon Incidental,Power gurdy troll,1359.042285
1982,EYKT,S15B,Salmon Incidental,Power gurdy troll,109.3242365
1982,NSEI,S15B,Salmon Incidental,Power gurdy troll,139.5038565
1982,NSEO,S15B,Salmon Incidental,Power gurdy troll,143.261119
1982,SSEI,S15B,Salmon Incidental,Power gurdy troll,58.93589296
1982,SSEO,S15B,Salmon Incidental,Power gurdy troll,258.7083911
1982,CSEO,S99S,Salmon Incidental,troll/salmon,2780.972548
1982,EYKT,S99S,Salmon Incidental,troll/salmon,109.3242365
1982,NSEI,S99S,Salmon Incidental,troll/salmon,136.1664436
1982,NSEO,S99S,Salmon Incidental,troll/salmon,129.7600711
1982,SSEI,S99S,Salmon Incidental,troll/salmon,104.5904579
1982,SSEO,S99S,Salmon Incidental,troll/salmon,273.2277396
