Filename,Frame,Time (HMS),Seconds,Period,Period time (HMS),Image row,Image col,OpCode,TapeReader,Depth,Comment,Year,Dive,Transect_Number,Dive_Type,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2018NSEO_Dive_23_07-57-09.000.avi,39700,8:19:14,29954,,,607,760,QC,EricaEbert,60,N/A,2018,23,46,Line,,,,,Bad,going over drop-off,BDO,BDO,1,AD,Passing,,,
SL_2018NSEO_Dive_23_07-57-09.000.avi,40369,8:19:37,29977,,,620,844,QC,EricaEbert,60,N/A,2018,23,46,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2018NSEO_Dive_23_07-57-09.000.avi,41828,8:20:25,30025,,,771,696,QC,EricaEbert,60,N/A,2018,23,46,Line,,,,,Bad,lost bottom visual,BLB,BLB,1,AD,Passing,,,
SL_2018NSEO_Dive_23_07-57-09.000.avi,42114,8:20:35,30035,,,686,820,QC,EricaEbert,60,N/A,2018,23,46,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2018NSEO_Dive_23_07-57-09.000.avi,57123,8:28:55,30535,,,659,815,QC,EricaEbert,60,N/A,2018,23,46,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2018NSEO_Dive_24_09-11-24.000.avi,245,9:11:37,33097,,,686,847,QC,EricaEbert,75,N/A,2018,24,45,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2018NSEO_Dive_24_09-11-24.000.avi,29088,9:27:39,34059,,,664,817,QC,EricaEbert,75,N/A,2018,24,45,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2018NSEO_Dive_24_09-11-24.000.avi,30976,9:28:42,34122,,,692,845,QC,EricaEbert,75,N/A,2018,24,45,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2018NSEO_Dive_24_09-11-24.000.avi,68271,9:49:25,35365,,,677,842,QC,EricaEbert,75,N/A,2018,24,45,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2018NSEO_Dive_25_10-34-18.000.avi,104,10:34:31,38071,,,674,825,QC,EricaEbert,95,N/A,2018,25,44,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
