"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff"
"658","C[112]",427.428,55.07,333.609,422.484,546.992,FALSE,1,1,3000
"659","C[113]",357.397,44.235,284.613,353.775,457.154,FALSE,1,1,3000
"660","C[114]",364.621,39.461,293.204,362.072,448.96,FALSE,1,1.001,2395
"661","C[115]",314.451,31.395,255.931,312.873,381.265,FALSE,1,1,3000
"662","C[116]",308.148,31.257,252.24,306.327,373.505,FALSE,1,1,2406
"663","C[117]",445.293,69.711,333.741,438.499,595.279,FALSE,1,1.001,3000
"664","C[118]",330.277,44.55,254.075,325.987,424.901,FALSE,1,1.001,2019
"665","C[119]",316.108,45.479,241.636,311.741,416.843,FALSE,1,1.002,1140
"666","C[120]",353.98,74.05,245.919,341.384,524.086,FALSE,1,1.002,1322
"667","C[121]",297.514,41.631,226.577,293.689,390.257,FALSE,1,1,3000
"668","C[122]",306.846,43.036,230.717,303.614,395.907,FALSE,1,1,3000
"669","C[123]",302.994,44.392,222.428,299.542,397.417,FALSE,1,1,3000
"670","C[124]",151.969,15.249,123.889,151.245,183.766,FALSE,1,1.001,1560
"671","C[125]",219.447,21.635,180.942,217.852,265.179,FALSE,1,1,3000
"672","C[126]",246.876,24.675,201.438,246.167,297.617,FALSE,1,1.002,1191
"673","C[127]",136.002,14.194,111.962,134.789,166.278,FALSE,1,1.001,3000
"674","C[128]",145.036,14.005,118.958,144.333,173.092,FALSE,1,1,3000
"675","C[129]",164.023,22.951,129.452,160.938,216.543,FALSE,1,1.002,1219
"676","C[130]",172.579,17.36,141.157,171.886,209.249,FALSE,1,1,3000
"677","C[131]",193.98,26.128,151.133,190.834,256.016,FALSE,1,1.001,3000
"678","C[132]",189.469,19.255,154.468,188.338,229.259,FALSE,1,1,3000
"679","C[133]",108.291,11.61,88.195,107.233,133.981,FALSE,1,1,3000
"680","C[134]",142.822,27.589,98.738,139.648,202.817,FALSE,1,1,3000
"681","C[135]",141.168,87.235,81.503,107.49,402.791,FALSE,1,1.006,3000
